company,status,address,city,county,state,zip,tiv,latitude,longitude,model_type,loss_type,overall_risk_class,severity_class,frequency_class,distance_to_high_hazard,customer_zone
1,active,30953 Broad Beach Rd,Malibu,Los Angeles,CA,90265,664314,34.03638,-118.86193,good,fire,medium,minimal,extreme,5,17
2,active,16182 Blacksage Ct,Riverside,Riverside,CA,92503,463049,33.87467,-117.48569,ugly,smoke,low,high,low,26,30
3,active,1171 Birch St,Corona,Riverside,CA,92879,963822,33.8663,-117.54696,good,smoke,minimal,high,extreme,25,10
1,active,22855 Bryman Rd,Oro Grande,San Bernardino,CA,92368,649965,34.66633,-117.34764,good,smoke,low,low,high,1,22
2,active,1569 Berkshire Ct,San Marcos,San Diego,CA,92069,954971,33.16833,-117.15452,bad,wind,medium,minimal,low,44,36
3,active,841 Blackberry Ct,San Marcos,San Diego,CA,92069,1665878,33.15196,-117.14995,bad,smoke,medium,high,minimal,36,36
1,active,567 Butterwood Ave,San Marcos,San Diego,CA,92069,1805981,33.14375,-117.12468,good,smoke,high,extreme,extreme,49,40
2,active,13870 Blue Sage Ln,Valley Center,San Diego,CA,92082,1361141,33.23743,-117.03387,bad,smoke,minimal,medium,extreme,21,4
3,active,35138 Benton Rd,Hemet,Riverside,CA,92544,2074678,33.61442,-116.87666,bad,fire,extreme,high,medium,28,4
1,active,20524 Burns St,Perris,Riverside,CA,92570,1349674,33.84068,-117.30474,good,wind,minimal,low,high,49,2
2,active,593 Biernacki Ct,Chula Vista,San Diego,CA,91911,1069926,32.61751,-117.03038,ugly,smoke,extreme,medium,high,0,34
3,active,997 Buena Pl,Carlsbad,San Diego,CA,92008,2876157,33.16789,-117.34752,good,smoke,medium,low,high,27,14
1,active,1382 Bello Mar Dr,Encinitas,San Diego,CA,92024,3515419,33.08292,-117.27891,ugly,fire,minimal,low,medium,0,27
2,active,1624 Blossom Field Way,Encinitas,San Diego,CA,92024,2383808,33.05239,-117.25259,good,smoke,low,low,high,16,30
3,active,429 Belvedere St,La Jolla,San Diego,CA,92037,630007,32.83323,-117.27831,good,wind,minimal,extreme,low,20,8
1,active,9665 Black Gold Rd,La Jolla,San Diego,CA,92037,1290619,32.8825,-117.24703,ugly,smoke,extreme,high,medium,38,48
2,active,17711 Bellechase Cir,San Diego,San Diego,CA,92128,3855188,33.03688,-117.0738,ugly,wind,minimal,extreme,low,47,8
3,active,17114 Bernardo Oaks Dr,San Diego,San Diego,CA,92128,1478545,33.02288,-117.0664,good,smoke,high,medium,medium,16,37
1,active,15683 Boulder Ridge Ln,Poway,San Diego,CA,92064,726856,32.99743,-117.04136,good,fire,extreme,low,extreme,12,46
2,active,8786 Bushy Hill Dr,Santee,San Diego,CA,92071,2390657,32.8371,-117.03402,bad,smoke,high,medium,low,15,24
3,active,1034 Blackbird St,El Cajon,San Diego,CA,92020,1330582,32.80905,-116.98101,bad,wind,medium,minimal,medium,34,15
1,active,13778 Braeswood Ter,El Cajon,San Diego,CA,92021,2821930,32.83099,-116.89123,bad,wind,extreme,extreme,minimal,16,43
2,active,1571 Buckeye Dr,El Cajon,San Diego,CA,92021,985394,32.81611,-116.94846,ugly,fire,low,medium,high,27,14
3,active,4083 Byrd St,San Diego,San Diego,CA,92154,2281327,32.58452,-117.04582,good,fire,minimal,high,medium,25,9
1,active,75560 Beryl Ln,Indian Wells,Riverside,CA,92210,1116322,33.71097,-116.34727,good,wind,minimal,medium,low,20,28
2,active,110 Bouquet Canyon Dr,Palm Desert,Riverside,CA,92211,1752181,33.75781,-116.35429,bad,wind,medium,high,extreme,41,46
3,active,402 Cabrillo Rd,Palm Springs,Riverside,CA,92262,1809694,33.85414,-116.5536,bad,smoke,low,minimal,medium,28,50
1,active,73332 Boling Dr,Twentynine Palms,San Bernardino,CA,92277,3271963,34.12654,-116.05456,bad,fire,high,high,medium,14,46
2,active,438 Casa Del Mar Dr,Half Moon Bay,San Mateo,CA,94019,2511493,37.47732,-122.44257,ugly,wind,extreme,extreme,low,3,45
3,active,26 Callado Way,Atherton,San Mateo,CA,94027,2927018,37.43873,-122.21492,bad,fire,minimal,medium,medium,23,41
1,active,1607 Canada Lane,Woodside,San Mateo,CA,94062,3041067,37.43127,-122.25231,ugly,fire,minimal,high,extreme,10,48
2,active,1179 Canada Rd,Woodside,San Mateo,CA,94062,3017761,37.43777,-122.26214,bad,fire,minimal,high,low,20,26
3,active,525 Cherry Ave.,Los Altos,Santa Clara,CA,94022,780960,37.39083,-122.11753,bad,smoke,extreme,extreme,minimal,47,4
1,active,862 Center Dr,Palo Alto,Santa Clara,CA,94301,1942607,37.44979,-122.14318,ugly,wind,medium,medium,extreme,12,8
2,active,11366 Canyon View Cir,Cupertino,Santa Clara,CA,95014,3987177,37.301,-122.064,ugly,wind,high,medium,high,40,7
3,active,158 Central Ave,Los Gatos,Santa Clara,CA,95030,2743849,37.21472,-121.97761,bad,fire,extreme,minimal,low,27,17
1,active,20313 Calle Montalvo,Saratoga,Santa Clara,CA,95070,1587094,37.25204,-122.02806,bad,fire,medium,low,low,38,18
2,active,382 Calle De Los Amigos,Pacific Grove,Monterey,CA,93950,1185160,36.6247,-121.93642,bad,fire,medium,extreme,minimal,45,47
3,active,9340 Carmel Valley Road,Carmel,Monterey,CA,93923,772120,36.52518,-121.81388,good,fire,minimal,medium,low,25,2
1,active,11 Carmel Way,Carmel,Monterey,CA,93923,3001382,36.54183,-121.87772,good,fire,minimal,medium,minimal,11,48
2,active,68 Chamisal Pass,Carmel,Monterey,CA,93923,3322630,36.49331,-121.82503,ugly,wind,medium,high,minimal,33,3
3,active,4880 Casitas Pass Rd,Ventura,Ventura,CA,93001,590539,34.38169,-119.40402,ugly,fire,low,medium,low,24,1
1,active,535 Calle Las Caleras,Santa Barbara,Santa Barbara,CA,93109,977874,34.40919,-119.75282,bad,wind,minimal,low,extreme,26,5
2,active,3237 Campanil Dr,Santa Barbara,Santa Barbara,CA,93109,1528747,34.41478,-119.75152,ugly,smoke,extreme,medium,high,41,9
3,active,5506 Calle Real,Santa Barbara,Santa Barbara,CA,93111,646196,34.44134,-119.81753,bad,smoke,high,medium,high,7,47
1,active,1387 Camino Manadero,Santa Barbara,Santa Barbara,CA,93111,3402942,34.46474,-119.82147,good,smoke,medium,medium,medium,25,43
2,active,1417 Camino Manadero,Santa Barbara,Santa Barbara,CA,93111,3518087,34.46504,-119.82186,ugly,wind,minimal,extreme,minimal,50,11
3,active,11566 Calle Real,Goleta,Santa Barbara,CA,93117,4062450,34.46288,-120.01596,bad,smoke,medium,high,high,46,16
1,active,295 Campodonico Ave,Guadalupe,Santa Barbara,CA,93434,3269483,34.96184,-120.57557,bad,wind,medium,extreme,extreme,35,44
2,active,43955 Caspar Orchard Rd,Caspar,Mendocino,CA,95460,1898235,39.35484,-123.78152,good,smoke,low,high,low,16,30
3,active,15 Chanticleer St,Larkspur,Marin,CA,94939,2451115,37.93386,-122.53211,bad,wind,extreme,medium,medium,6,47
1,active,69 Cherry Tree Ln,Northwest Marin,Marin,CA,94956,3803345,38.08002,-122.81541,good,fire,medium,minimal,minimal,48,3
2,active,312 Carter St,Vallejo,Solano,CA,94590,961236,38.1147,-122.26123,ugly,fire,high,medium,low,37,7
3,active,2104 Canyon Oak Ln,Danville,Contra Costa,CA,94506,1745759,37.83114,-121.9429,ugly,fire,extreme,medium,extreme,39,7
1,active,151 Camelia Ln,Lafayette,Contra Costa,CA,94549,3524753,37.90124,-122.16479,bad,fire,extreme,medium,high,38,21
2,active,3207 Casa Grande Dr,San Ramon,Contra Costa,CA,94583,3675788,37.74563,-121.93998,bad,wind,extreme,low,extreme,49,5
3,active,33521 Cessna Ave,Paynes Creek,Tehama,CA,96075,573049,40.34138,-121.78105,good,fire,extreme,minimal,extreme,30,29
1,active,1934 Cenacle Ln,Carmichael,Sacramento,CA,95608,2281109,38.6007,-121.33975,ugly,wind,minimal,medium,high,33,32
2,active,9196 Cedar Ridge Dr,Granite Bay,Placer,CA,95746,1116701,38.73468,-121.21805,bad,fire,medium,medium,low,34,47
3,active,4582 Carmen Dr,El Dorado Hills,El Dorado,CA,95762,1102618,38.68506,-121.09008,ugly,fire,low,medium,medium,21,38
1,active,378 Canyon Highlands Dr,Oroville,Butte,CA,95966,2760768,39.52498,-121.53322,bad,fire,low,low,high,37,47
2,active,2841 Chandler Rd,Quincy,Plumas,CA,95971,2850628,39.96188,-120.90043,good,wind,medium,low,high,9,13
3,active,406 Carrie Pryor,Truckee,Nevada,CA,96161,1525053,39.2926,-120.14585,bad,smoke,medium,minimal,low,14,22
1,active,5 Capistrano By The Sea,Dana Point,Orange,CA,92629,3729969,33.47176,-117.6864,ugly,fire,low,medium,medium,38,17
2,active,32408 Caribbean Dr,Dana Point,Orange,CA,92629,2397638,33.48885,-117.72653,ugly,smoke,medium,extreme,high,19,6
3,active,5617 Calle De Arboles,Torrance,Los Angeles,CA,90505,3333361,33.80458,-118.37364,ugly,smoke,low,minimal,high,22,10
1,active,5416 Calle Mayor,Torrance,Los Angeles,CA,90505,2572599,33.81215,-118.37224,ugly,smoke,extreme,minimal,low,23,25
2,active,12756 Centralia Street,Lakewood,Los Angeles,CA,90630,983732,33.83883,-118.0602,good,fire,high,minimal,minimal,26,46
3,active,19222 Chandon Ln,Huntington Beach,Orange,CA,92648,1832344,33.68419,-118.00694,ugly,wind,medium,medium,medium,36,25
1,active,16555 Channel Lane,Huntington Beach,Orange,CA,92649,2888089,33.72209,-118.07174,bad,smoke,extreme,minimal,medium,37,9
2,active,22204 Carbon Mesa Rd,Malibu,Los Angeles,CA,90265,3334266,34.04575,-118.65699,bad,fire,high,medium,low,19,15
3,active,29450 Cambridge Ct,Agoura Hills,Los Angeles,CA,91301,2551846,34.15641,-118.76686,ugly,fire,medium,extreme,high,41,49
1,active,5837 Cape Horn Dr,Agoura Hills,Los Angeles,CA,91301,3885579,34.1577,-118.78976,good,wind,extreme,high,high,40,20
2,active,365 Capitan St,Newbury Park,Ventura,CA,91320,1595651,34.17423,-118.9016,ugly,fire,minimal,high,minimal,12,48
3,active,2668 Calle Bienvenido,Thousand Oaks,Ventura,CA,91360,1120868,34.21542,-118.86772,bad,fire,extreme,extreme,high,18,23
1,active,102 Monte Verano Ct,San Jose,Santa Clara,CA,95116,573953,37.36172,-121.83956,bad,fire,high,medium,medium,14,35
2,active,144 Basch Ave,San Jose,Santa Clara,CA,95116,847882,37.35714,-121.85488,ugly,smoke,low,medium,medium,9,10
3,active,2648 Lombard Ave,San Jose,Santa Clara,CA,95116,896352,37.35648,-121.83227,bad,wind,high,medium,medium,1,8
1,active,1218 Lynhurst Way,San Jose,Santa Clara,CA,95118,926460,37.26477,-121.8817,ugly,smoke,medium,high,high,41,8
2,active,25271 Black Canyon Rd,Santa Ysabel,San Diego,CA,92070,3536382,33.16403,-116.78543,ugly,smoke,minimal,minimal,medium,3,24
3,active,1915 Carmelita Dr,San Carlos,San Mateo,CA,94070,1676281,37.50147,-122.2679,bad,wind,minimal,extreme,minimal,36,18
1,active,4848 Calle Brisa,Camarillo,Ventura,CA,93012,1054358,34.23015,-119.00904,bad,wind,extreme,extreme,extreme,39,22
2,active,4246 Canario Ct,Moorpark,Ventura,CA,93021,1778764,34.26672,-118.88247,ugly,fire,medium,minimal,high,8,14
3,active,306 Casey Rd,Moorpark,Ventura,CA,93021,1478504,34.28844,-118.8868,bad,smoke,minimal,low,low,16,22
1,active,6458 Chagall Dr,Moorpark,Ventura,CA,93021,1626925,34.29064,-118.93433,good,wind,medium,high,extreme,3,43
2,active,664 Cartpath Pl,Simi Valley,Ventura,CA,93065,1743800,34.25079,-118.81437,ugly,fire,medium,minimal,medium,27,25
3,active,40206 Calle Rosalito,Santa Clarita,Los Angeles,CA,91390,1269574,34.62517,-118.40521,ugly,wind,low,extreme,medium,46,37
1,active,38248 Carolside Ave,Palmdale,Los Angeles,CA,93550,1947729,34.57717,-118.12832,bad,fire,low,high,extreme,41,42
2,active,38491 Carolside,Palmdale,Los Angeles,CA,93550,1666385,34.582,-118.1286,good,smoke,minimal,low,low,44,13
3,active,65 Crest Rd,Piedmont,Alameda,CA,94611,3315384,37.82149,-122.21575,good,smoke,medium,extreme,low,41,49
1,active,927 Canon Rd,Santa Barbara,Santa Barbara,CA,93110,3265840,34.42714,-119.75865,bad,fire,extreme,minimal,high,29,11
2,active,622 California St,Huntington Beach,Orange,CA,92648,2460329,33.66236,-117.99391,ugly,fire,medium,extreme,low,33,12
3,active,4075 Camulos St,Piru,Ventura,CA,93040,1976434,34.41305,-118.79135,good,smoke,high,low,extreme,1,3
1,active,518 Calle Miramar,Redondo Beach,Los Angeles,CA,90277,2605281,33.81147,-118.38533,bad,smoke,medium,high,medium,15,40
2,active,2317 Carnegie Ln,Redondo Beach,Los Angeles,CA,90278,1404333,33.87121,-118.36915,ugly,smoke,extreme,extreme,low,33,35
3,active,21137 Cedarfalls Dr,Santa Clarita,Los Angeles,CA,91350,1706971,34.448,-118.50522,ugly,wind,low,minimal,low,37,9
1,active,28005 Charles Dr,Santa Clarita,Los Angeles,CA,91350,1679229,34.44714,-118.4977,bad,wind,medium,minimal,low,37,44
2,active,23365 Camford Pl,Valencia,Los Angeles,CA,91354,3337986,34.43881,-118.54436,good,smoke,extreme,extreme,medium,42,37
3,active,4187 Canyon Crest Rd,Altadena,Los Angeles,CA,91001,708941,34.20966,-118.16435,ugly,fire,low,minimal,extreme,11,43
1,active,4221 Canyon Crest Rd,Altadena,Los Angeles,CA,91001,1303198,34.21017,-118.16425,ugly,fire,medium,minimal,low,33,47
2,active,761 Canyon Crest Dr,Sierra Madre,Los Angeles,CA,91024,1922704,34.1726,-118.04388,bad,fire,medium,minimal,low,36,39
3,active,636 Canterbury Rd,San Marino,Los Angeles,CA,91108,832659,34.13521,-118.10543,ugly,wind,minimal,high,medium,45,17
1,active,10032 Carmenita Rd,Whittier,Los Angeles,CA,90605,2359817,33.94326,-118.04604,bad,smoke,low,high,low,49,25
2,active,10832 Carmenita Rd,Whittier,Los Angeles,CA,90605,1355455,33.93441,-118.04642,ugly,fire,high,extreme,medium,27,8
3,active,19449 Cameron Ave,Covina,Los Angeles,CA,91724,2514882,34.05842,-117.87305,ugly,fire,minimal,extreme,low,40,13
1,active,61 Calle Del Mar,Pomona,Los Angeles,CA,91766,3781201,34.03745,-117.78406,ugly,wind,high,minimal,extreme,1,2
